gid,id_no,name,name_other,components,part_of,rec_type,rec_note,country,state_prov,latitude,longitude,loc_note,dep_type,dep_note,dep_form,commods,hree_note,lree_note,ree_ratio,ree,status,stat_note,ree_mins,sig_mins,oth_mins,age_mzn,age_ma,host_age,hage_ma,host_lith,host_unit,assoc_rock,alteration,company,comments,ref_list,discov_yr,expl_note,mine_meth,p_status,pstat_note,p_years,p_refs,p_note,rr_ore_mt,rr_treo_mt,rr_treogrd,rr_ree_grd,rr_cutoff,rr_hm_mt,rr_hm_pct,rr_min_mt,rr_min_pct,rr_mon_mt,rr_mon_pct,rr_oth_grd,rr_yr_est,rr_refs,rr_regcode,rr_note,region,geom
496,3097.00000000,Ban Chin Hin,,,Kinta Valley,district or area,,Malaysia,Perak,4.38440000000,101.096300000,Estimated location based on Roberts (1995).,alluvial placer,,,"Sn, REE",,,,,Occurrence,,monazite,cassiterite,,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,,Roberts (1995),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000B8A679C72946594080545227A0891140
497,3098.00000000,Batu Gajah,,,Kinta Valley,district or area,HM mine,Malaysia,Perak,4.43370000000,101.067900000,,shoreline placer; alluvial placer; tailings,,,"Sn, REE, Th",,,,,Deposit,,"monazite, xenotime, allanite","cassiterite, zircon, ilmenite, iron oxide, rutile, columbite","tourmaline, epidote",Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,Tin tailings in this area are rich in heavy minerals that contain rare earth elements.,Flinter and others (1963); Hussin and others (1991); Overstreet (1967); Roskill Information Services (1988),,,,Byproduct producer,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000084D93D7958445940001A51DA1BBC1140
498,3099.00000000,Berjuntai,Batang Berjuntai,,,district or area,Sn placer mine,Malaysia,Selangor,3.42630000000,101.404700000,,tailings,,,"Sn, Ti, Zr, REE",,,,,Deposit,,monazite,"ilmenite, cassiterite, zircon, rutile","quartz, tourmaline",Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,Tailings (amang) contain about 1% monazite + xenotime.,Elsner (2010); Tompkins (2003),,,,Past byproduct producer,Small past producer.,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000402CD49AE6595940804772F90F690B40
499,3100.00000000,Besar,Pulau Besar,,,district or area,,Malaysia,Melacca,2.11490000000,102.328500000,,shoreline placer,,,"Ti, Sn, REE",,,,,Deposit(?),,"xenotime, monazite, allanite","ilmenite, columbite, rutile, cassiterite, zircon",tourmaline,,,,,sand,,,,,,Flinter and others (1963),,,,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000202FDD2406955940007CF2B050EB0040
500,3101.00000000,Besi,Sungai Besi,,,district or area,Sn mines,Malaysia,Wilayah Persekutuan Kuala Lumpur,3.05060000000,101.672800000,Location estimated from Tompkins (2003).,alluvial placer,,,"Sn, Ti, Zr, REE",,,,,Occurrence,,monazite,"cassiterite, ilmenite","quartz, tourmaline",Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,,Batchelor (1988); Tompkins (2003),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000F02FBB270F6B5940006C09F9A0670840
501,3102.00000000,Bidor,,,,district or area,Sn placer mine,Malaysia,Perak,4.06790000000,101.249800000,Estimated location.,alluvial placer,,,"Ti, Sn, REE, Zr, Au",,,,,Deposit,,monazite,"cassiterite, ilmenite, zircon, rutile, cassiterite, native gold","quartz, tourmaline",Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,Hung Soon Kongsi (1963),,Flinter and others (1963); Tompkins (2003),,,,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000A0A223B9FC4F59404098DD9387451040
502,3103.00000000,Chai Fan Thom,,,Kinta Valley,district or area,,Malaysia,Perak,4.41980000000,101.058700000,Estimated location based on Roberts (1995).,alluvial placer,,,"Sn, REE",,,,,Occurrence,,,cassiterite,,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,,Roberts (1995),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000A011A5BDC1435940C0711B0DE0AD1140
503,3104.00000000,Che Song,Kampong Che Song,,,site(?),,Malaysia,Perak,4.36270000000,100.992500000,,alluvial placer; tailings,,,"Sn, REE(?)",,,,,Deposit,,,cassiterite,,,,,,,,,,,,Tompkins (2003),,,gravel pump,Not known,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000F051B81E853F5940C009F9A067731140
504,3105.00000000,Dengkil,,,,district or area,,Malaysia,Selangor,2.86400000000,101.654000000,,alluvial placer(?),,,REE,,,,,Deposit,,monazite,,,,,,,,,,,,,Batchelor (1988); Tompkins (2003),,,dredge,Past byproduct producer(?),,,,Last production reported in 2002.,,,,,,,,,,,,,,,,,East Asia,0101000020E610000064E5D022DB69594000F4FDD478E90640
505,3106.00000000,Dengkil-Bangi,,,,district or area,,Malaysia,Selangor,2.96310000000,101.797700000,Estimated location based on Tompkins (2003).,alluvial placer,,,"Sn, REE(?)",,,,,Occurrence,,,,,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,Average Sn grade is reported to be 0.25 kg/m3.,Schwartz and others (1995); Tompkins (2003),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000040014D840D7359400039D6C56DB40740
506,3107.00000000,Dinding,Dindings,,Kinta Valley,district or area(?),,Malaysia,Perak,4.46090000000,101.056700000,Estimated location based on Roberts (1995).,alluvial placer,,,"Sn, REE",,,,,Deposit,,monazite,cassiterite,,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,,Overstreet (1967); Roberts (1995),,,,Not known,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000BC6B09F9A043594000E86A2BF6D71140
507,3108.00000000,Gambang,,,,district or area,,Malaysia,Pahang,3.71670000000,103.100000000,,alluvial placer,,,"Sn, REE",,,,,Deposit,,"xenotime, monazite","cassiterite, ilmenite, rutile, zircon",,,,,,,,,,,,ESCAP and ABMRGG (1988); Overstreet (1967),,,,Byproduct producer,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E61000006C66666666C659400059A835CDBB0D40
508,3109.00000000,Gopeng,,,,district or area,,Malaysia,Perak,4.46300000000,101.140200000,Estimated location based on Roberts (1995).,alluvial placer,,,"Sn, REE",,,,,Occurrence,,,cassiterite,,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,,Roberts (1995); Tompkins (2003),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000090B96B09F9485940403108AC1CDA1140
509,3110.00000000,Intan,Teluk Intan,,,district or area,bay,Malaysia,Perak,5.63950000000,101.034000000,Estimated location.,shoreline placer,,,"Sn, REE(?)",,,,,Occurrence,,,cassiterite,,,,,,,,,,,,Tompkins (2003),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E61000001C04560E2D425940402B8716D98E1640
510,3111.00000000,Ipoh,,,,district or area,,Malaysia,Perak,4.55530000000,100.980000000,,alluvial placer,,,"Sn, Ti, REE",,,,,Deposit,,"xenotime, monazite",cassiterite,,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,,Overstreet (1967); Roberts (1995),,,,Byproduct producer,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E61000002485EB51B83E594040E02D90A0381240
511,3113.00000000,Jelapang,,,Kinta Valley,district or area(?),,Malaysia,Perak,4.65610000000,101.076700000,"Estimated location near Jelapang, Perak.",alluvial placer; tailings,,,"Sn, REE",,,,,Occurrence,,"xenotime, monazite","cassiterite, ilmenite",,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,,Hussin and others (1991),,,,No production(?),,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000A0E61DA7E8445940809FABADD89F1240
512,3114.00000000,Kambau mines,Ulu Sungei Payong,,,district or area(?),,Malaysia,Johor,2.01560000000,104.025900000,Estimated location in Johore.,supergene,residual,,"Sn, REE",,,,,Occurrence,,monazite,cassiterite,,,,Mesozoic,,weathered granite,,,,,,Overstreet (1967),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000DC3D7958A8015A40008B8EE4F21F0040
513,3115.00000000,Kampar,,,,district or area,,Malaysia,Perak,4.29570000000,101.149400000,Estimated location in town of Kampar.,alluvial placer,,,"Sn, REE",,,,,Deposit(?),,monazite,"cassiterite, columbite, zircon, ilmenite, iron oxide, rutile, anatase",tourmaline,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,Tronoh Mines Ltd. (1963),,Flinter and others (1963); Tompkins (2003),,,gravel pump,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000748104C58F495940C0B515FBCB2E1140
514,3116.00000000,Kampung Gajah,,,,district or area,historic alluvial Sn mine,Malaysia,Perak,4.24950000000,101.040300000,,tailings; alluvial placer,,,"Sn, Ti, Zr, REE",,,,,Occurrence,,monazite,"cassiterite, ilmenite, zircon",,,,,,alluvial sediment,,,,,,Hamzah and others (2009),,,,Not known,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000DC81734694425940C06891ED7CFF1040
515,3117.00000000,Karak Tin Mine,,,,district or area,Sn mine,Malaysia,Pahang,3.41460000000,102.031600000,Estimated location at village of Karak.,alluvial placer,,,"Ti, Sn, REE",,,,,Deposit(?),,"monazite, xenotime","cassiterite, zircon, ilmenite, iron oxides, rutile",tourmaline,,,,,,,,,,,Flinter and others (1963),,,,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000074A301BC05825940006007CE19510B40
516,3118.00000000,Karangan,"Sungai Karangan, Kulim",,,district or area,,Malaysia,Kedah,5.54280000000,100.589000000,,alluvial placer,,,"REE, Ti, Sn",,,,,Deposit,,monazite,"ilmenite, cassiterite",,,,,,,,,,,"Concentrates from this area were reported to contain 41% monazite, 39% ilmenite, and 20% cassiterite in the early 20th century; heavy minerals are derived from granite intruded into phyllite and sandstone and cut by quartz veins with cassiterite, wolfram",Overstreet (1967),,,,Past byproduct producer,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000008560E2DB2255940801361C3D32B1640
517,3119.00000000,Kelantan,,,,district or area,,Malaysia,Kelantan,6.16820000000,102.248400000,Estimated location near mouth of Kalantan River.,alluvial placer,,,"Sn, REE, Th",,,,,Showing,,monazite,cassiterite,,,,,,,,,,,,Overstreet (1967),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000E8141DC9E58F594000C0EC9E3CAC1840
518,3120.00000000,Kemaman,Sungai Kemaman,,,district or area,,Malaysia,Terengganu,4.21350000000,103.358400000,,alluvial placer,,,"Sn, REE",,,,,Showing,,"monazite, xenotime",cassiterite,,,,,,,,,,,,Overstreet (1967),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000C0B88D06F0D6594000C976BE9FDA1040
519,3121.00000000,Khoo Soo Chai,,,Kinta Valley,district or area,,Malaysia,Perak,4.53060000000,101.155200000,Estimated location based on Roberts (1995).,alluvial placer,,,"Sn, REE",,,,,Occurrence,,,cassiterite,,,,,,,,,,,,Roberts (1995),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000B815FBCBEE49594000083D9B551F1240
520,3122.00000000,Killinghall,,,Kuala Lumpur,district or area,,Malaysia,Selangor,2.99800000000,101.603300000,"Estimated location, about 2.5 km southwest of Puchong Perdana, based on Roberts (1995).",alluvial placer,,,"Sn, REE",,,,,Occurrence,,,cassiterite,,,,,,,,,,,,Roberts (1995),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000546B9A779C66594000448B6CE7FB0740
521,3123.00000000,Kinta Valley,,,,district or area,,Malaysia,Perak,4.30000000000,101.167000000,,alluvial placer,,,"Sn, REE, Ti, Zr",,,,,Deposit,,"monazite, xenotime","cassiterite, ilmenite, zircon, rutile",,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,,ESCAP and ABMRGG (1988); Hamzah and others (2011); Hedrick and Templeton (1991); Towner (1992); Towner and others (1988),,,,Byproduct producer,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000AC9BC420B04A59408033333333331140
522,3124.00000000,Kuala Kelawang,,,,district or area,,Malaysia,Negeri Sembilan,2.76640000000,101.982900000,Estimated location based on Tompkins (2003).,alluvial placer,,,"Sn, REE(?)",,,,,Showing,,,,,,,,,,,,,,Average Sn grade is reported to be 0.42 kg/m3.,Tompkins (2003),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000048CF66D5E77E5940803CBD5296210640
523,3125.00000000,Kuala Langat-Tj Duabelas,,,,district or area,,Malaysia,Selangor,2.84590000000,101.583800000,Estimated location based on Tompkins (2003).,alluvial placer,,,"Sn, REE(?)",,,,,Showing,,,cassiterite,,Middle Pleistocene,,Middle Pleistocene,,"channel sand, sandy gravel",,,,,Average Sn grade is reported to be 0.16 kg/m3.,Batchelor (1988); Tompkins (2003),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000ECD9ACFA5C655940007E1D3867C40640
524,3126.00000000,Kuala Lumpur,,,,district or area,,Malaysia,Selangor,3.00000000000,101.750000000,Very general location.,alluvial placer,,,"Sn, REE, Ti, Au, Zr(?)",,,,,Deposit,,"monazite, xenotime","cassiterite, ilmenite, native gold, zircon, rutile",,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,,ESCAP and ABMRGG (1988); Hedrick and Templeton (1991); Towner (1992); Towner and others (1988),,,,Byproduct producer,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000004000000007059408000000000000840
525,3127.00000000,Lahat Mine,,,,district or area,Sn mine,Malaysia,Perak,4.54240000000,101.035200000,Estimated location based on Roberts (1995).,alluvial placer,,,"Sn, REE",,,,,Occurrence,,"monazite, xenotime",cassiterite,,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,Beh Minerals,,"Roberts (1995); J. Hedrick (written commun., 2002)",,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000703480B7404259400067D5E76A2B1240
526,3128.00000000,Langkawi,Pulau Langkawi,,,site(?),,Malaysia,Kedah,6.33000000000,99.8144000000,Estimated location on Langkawi Island.,placer of unknown origin,,,"Sn(?), REE",,,,,Occurrence,,monazite,cassiterite(?),,,,,,sand,,,,,,Overstreet (1967),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000034772D211FF4584080B81E85EB511940
527,3129.00000000,Larut,,,,district or area,,Malaysia,Perak,4.78840000000,100.748900000,Estimated location near Bukit Larut.,shoreline placer,,,"Sn, REE(?)",,,,,Occurrence,,,cassiterite,,,,,,,,,,,,Tompkins (2003),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000060FE43FAED2F594080AA605452271340
528,3130.00000000,Lumut-Dindings,,,,district or area,,Malaysia,Perak,4.24360000000,100.585500000,Estimated location offshore.,shoreline placer,,,"Sn, REE(?)",,,,,Showing,,monazite(?),cassiterite,,Pleistocene,,Pleistocene,,"beach sand, sand, colluvium, eluvium",,,,,,Batchelor (1988); Tompkins (2003),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000BCF3FDD4782559404039454772F91040
530,3132.00000000,Panching,Sungai Panching,,,district or area,,Malaysia,Pahang,3.89200000000,103.167400000,Estimated location near Sugai Panching village.,alluvial placer,,,"REE, Zr, Ti",,,,,Showing,,"monazite, xenotime","zircon, ilmenite",,,,,,,,,,,,Overstreet (1967),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000070567DAEB6CA5940004260E5D0220F40
531,3133.00000000,Pantai,,,,district or area,,Malaysia,Perak,4.39530000000,100.595500000,"Estimated location, 6 km southwest of Pantai, based on Roberts (1995).",alluvial placer,,,"Sn, REE",,,,,Showing,,,cassiterite,,,,,,,,,,,,Roberts (1995),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E61000002C3108AC1C265940806FF085C9941140
532,3134.00000000,Pertang,,,,district or area,,Malaysia,Negeri Sembilan,2.96390000000,102.216600000,Estimated location near village of Pertang.,alluvial placer,,,"Sn, REE, Ti, Zr",,,,,Deposit(?),,"monazite, xenotime","cassiterite, zircon, ilmenite, iron oxide, rutile, columbite",tourmaline,,,,,,,,,Tambah Tin Dredging Co. Ltd. (1963),,Flinter and others (1963),,,,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000018143FC6DC8D594080EA043411B60740
533,3135.00000000,Petaling,Kuala Lumpur,,,district or area,,Malaysia,Selangor,2.95790000000,101.568900000,Estimated location based on Roberts (1995).,supergene,placer; residual,,"Sn, Zr, Ti, REE, Nb",,,,,Deposit,,"monazite, xenotime","cassiterite, zircon, ilmenite, iron oxide, rutile, columbite",tourmaline,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,,Flinter and others (1963); Roberts (1995),,,,Byproduct producer,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000074AC8BDB6864594080B5A679C7A90740
534,3136.00000000,Rahman Hydraulic Tin Mine,,,,district or area(?),,Malaysia,Perak,5.63430000000,101.033100000,,alluvial placer,"placer; residual, hydrothermal stockwork",,"Sn, REE",,,,,Deposit,,,cassiterite,,,,,,,,,,,,U.S. Geological Survey (2013),1907,,,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000DC5F764F1E42594080696FF085891640
535,3137.00000000,Rawang-Kuala Kubu Baharu,,,,district or area,,Malaysia,Selangor,3.32760000000,101.552700000,Estimated location based on Tompkins (2003).,alluvial placer,,,"Sn, REE",,,,,Deposit,,,,,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,Average placer thickness is reported as 5.89 m with a Sn grade of 0.29 kg/m3.,Tompkins (2003),,,,Not known,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000F81FD26F5F635940005CB1BFEC9E0A40
536,3138.00000000,Selangor,Kuala Lumpur,,,district or area,,Malaysia,Selangor,2.84900000000,101.611600000,"Estimated location, about 4.5 km from Dengkil, based on Roberts (1995).",alluvial placer,,,"Sn, Ti, Zr, REE",,,,,Deposit,,monazite,"cassiterite, ilmenite, zircon",,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,,Roberts (1995); U.S. Geological Survey (2013),,,,Not known,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000F88E537424675940006F1283C0CA0640
537,3139.00000000,Seremban,,,,district or area(?),,Malaysia,Negeri Sembilan,2.69310000000,101.902300000,Estimated location at town of Seremban.,alluvial placer,,,"Sn, Ti, REE",,,,,Deposit(?),,"monazite, xenotime","cassiterite, zircon, ilmenite, iron oxide, rutile, columbite",tourmaline,,,,,,,,,"Tongkah Compound No. 2, N.L. (1963)",,Flinter and others (1963); Overstreet (1967),,,,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000098CB7F48BF79594000DD4603788B0540
538,3140.00000000,Siau Hin,,,,district or area,,Malaysia,Kedah,5.70000000000,100.470000000,Estimated location at town of Semeling.,alluvial placer(?),,,"Sn, REE, Th, U",,,,Eu enriched,Deposit(?),,"monazite, fergusonite","columbite, cassiterite, zircon, garnet, magnetite wolframite, rutile, chromite","tourmaline, gahnite",,,,,,,,,,,Flinter and others (1963),,,,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000B447E17A141E594000CDCCCCCCCC1640
539,3141.00000000,Siliau,,,,district or area,,Malaysia,Negeri Sembilan,2.61150000000,101.865000000,Estimated location at town of Siliau.,alluvial placer(?),,,"Sn, REE",,,,,Deposit(?),,"monazite, xenotime","cassiterite, zircon, ilmenite, iron oxide, rutile, columbite","tourmaline, gahnite",,,,,,,,,Rantau Tin Dredging Co. Ltd. (1963),,Flinter and others (1963),,,,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000094C2F5285C7759408008AC1C5AE40440
540,3142.00000000,Sungkai,,,,district or area,,Malaysia,Perak,4.00640000000,101.302400000,Estimated location in town of Sungkai.,alluvial placer,,,"Ti, Sn, REE",,,,,Deposit(?),,"monazite, xenotime","ilmenite, cassiterite, zircon",tourmaline,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,Austral Amalgamated Tin Ltd. (1963),,Flinter and others (1963),,,,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000E09387855A53594040C7BAB88D061040
541,3143.00000000,Taiping,,,,district or area,,Malaysia,Perak,4.82200000000,100.679000000,Estimated location near town of Taiping.,alluvial placer,,,"Sn, REE, Ti, Zr",,,,,Deposit(?),,"monazite, xenotime, allanite, euxenite-(Y)","cassiterite, zircon, ilmenite, iron oxide, rutile, columbite",tourmaline,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,Larut Tin Fields Ltd. (1963),,Flinter and others (1963),,,,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000007F6ABC742B5940C03F355EBA491340
542,3144.00000000,Tanjong Tualong,,,,district or area,,Malaysia,Perak,4.33440000000,101.007600000,,alluvial placer,,,"Sn, REE(?)",,,,,Showing,,,cassiterite,,,,,,,,,,,,Tompkins (2003),,,gravel pump,Not known,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000CCDCB5847C40594080211FF46C561140
543,3145.00000000,Tekka,,,,district or area,,Malaysia,Perak,4.50640000000,101.163800000,Estimated location.,other igneous deposit,"primary tin deposit, veins",,"Sn, REE",,,,,Occurrence,,,"cassiterite, wolframite, arsenopyrite, stannite, sphalerite, chalcopyrite, scheelite","quartz, tourmaline, topaz, muscovite (sericite), fluorite",Late Pliocene–Pleistocene,,Triassic,,granite,,,,,,Teh (1981); Tompkins (2003),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000070C5FEB27B4A594040C7BAB88D061240
544,3146.00000000,Teronoh,Tronoh,,,district or area,,Malaysia,Perak,4.41910000000,100.981000000,,alluvial placer,,,"Sn, REE(?)",,,,,Deposit,,monazite,"cassiterite, ilmenite, zircon","quartz, tourmaline",Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,"Ayer, Kuning and Kampar",Placer averages more than 20.0 m thick.,Flinter and others (1963); Schwartz and others (1995); Tompkins (2003),,,gravel pump,Byproduct producer,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000145839B4C83E59400004E78C28AD1140
545,3147.00000000,Trengganu,"Kuala Trengganu, Tringganu",,,district or area,,Malaysia,Terengganu,5.33950000000,103.139500000,,shoreline placer(?),,,"Sn, REE, Th",,,,,Occurrence,,"monazite, xenotime",cassiterite,,,,,,,,,,,,Overstreet (1967),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000B4726891EDC8594000F853E3A55B1540
546,3148.00000000,Trong,Terong,,,district or area,,Malaysia,Perak,4.70730000000,100.707000000,"Estimated location near Terong, Perak.",alluvial placer,,,"Sn, REE, Zr, Ti",,,,,Deposit(?),,"monazite, xenotime","cassiterite, zircon, ilmenite, iron oxide, rutile, columbite",tourmaline,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,Wah Sung Tin Mine Ltd. (1963),,Flinter and others (1963),,,,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E61000006C91ED7C3F2D594000D8817346D41240
547,3150.00000000,Way,Sungai Way,,,district or area,,Malaysia,Selangor,3.08620000000,101.582700000,Estimated location based on Tompkins (2003).,alluvial placer,,,"Sn, REE, Zr, Ti, Nb",,,,,Deposit,,"monazite, xenotime","cassiterite, zircon, ilmenite, iron oxide, rutile, columbite",tourmaline,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,Sungai Way Dredging Ltd. (1963),,Flinter and others (1963); Tompkins (2003),,,,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000048D8F0F44A655940005327A089B00840
548,3151.00000000,Yong Nyee Fan,"Kinta Valley, Yong Ngee Fan",,,district or area,,Malaysia,Perak,4.43820000000,101.130900000,Estimated location based on Roberts (1995).,alluvial placer,,,"Sn, REE",,,,,Occurrence,,,"proustite, cassiterite, arsenopyrite","fluorite, tourmaline",Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,,Roberts (1995),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000FCC264AA60485940006E3480B7C01140
549,3152.00000000,Yoon Foong,Kinta Valley,,,district or area,,Malaysia,Perak,4.42900000000,101.130600000,Estimated location based on Roberts (1995).,alluvial placer,,,"Sn, REE",,,,,Occurrence,,,cassiterite,,Upper Pliocene–Pleistocene,,Upper Pliocene–Pleistocene,,"sand, gravel",,,,,,Roberts (1995),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000E8361AC05B485940C0EFA7C64BB71140
551,3154.00000000,Altanboom,,,,intrusion or complex(?),,Mongolia,Khövsgöl,50.3333000000,98.5000000000,,other igneous deposit,leucocratic muscovite granite-hosted and associated greisen,,"Ta, Sr, Mo, Nb, REE",,,,,Occurrence,,,,,,,,,leucocratic muscovite granite,,,,,"Grade of 0.01-0.05% Ta2O5, 0.0002-0.03% Nb2O5, 0.0001-0.03% REE, 0.002-0.289% Mo.",Ariunbileg and others (2003),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E61000000400000000A05840E8E00B93A92A4940
552,3155.00000000,Angirt,Angirt gol,,,site,,Mongolia,Hovd,46.0917000000,92.8833000000,Generalized location is the same as for Khuld (ID_No 3204); but limited descriptive information suggests these records may be for different groups of pegmatites.,other igneous deposit,pegmatite,,"Be, Ta, Nb, REE","0.0001-0.01% Yb, 0.01–0.1% Y",,,,Showing,,,,,,,,,biotite-amphibole schist  amphibolite,,,,,Consists of 8 pegmatite bodies.,Ariunbileg and others (2003); Kamitani and others (2012); Mongolia Geologic Information Center (2003),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000A823B9FC8738574090855AD3BC0B4740
553,3156.00000000,Ar gol,,,,site(?),,Mongolia,Khövsgöl,50.4722000000,99.8986000000,,alkaline igneous,peralkaline granitoid-related,,"Nb, Zr, REE",,,,,Showing,,,,,,,,,,,,,,,Mongolia Geologic Information Center (2003); Rodionov and others (2003); Dejidmaa and others (1999),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E6100000E40B93A982F95840F095B20C713C4940
554,3157.00000000,Ar khuruut,,,,district or area,,Mongolia,Khentii,48.4000000000,110.083300000,,alluvial placer,REE-bearing placer,,REE,,,,,Showing,,monazite,,,,,,,,,,,,,Mongolia Geologic Information Center (2003); Yoo and Koh (2011),,,,No production,,,,,,,,,,,,,,,,,,,,,East Asia,0101000020E610000074F085C954855B403833333333334840
